Date,Outcomes,Predominant function of establishment,Establishment,Adjudicator,Sex,Age group,Ethnicity,Religion,Offence,Detailed offence,Count
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Assault on a prisoner,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any rule or regulation,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on staff,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,d Other ethnic group,i No religion,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Wilful Damage,Cause damage to any part of a prison,3
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on staff,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,d Other ethnic group,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,a Christian,Other offences, Endangers health/safety of any person,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,f Jewish,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,i No religion,Other offences, Endangers health/safety of any person,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,i No religion,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Belmarsh,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,25 - 29,e White,i No religion,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Disobedience/disrespect,Disobeys any rule or regulation,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Assault on a prisoner,1
