"REGION","ORDER TYPE","SEX","DATE","COUNT"
"East Midlands","All community sentences","Female","2023Q1",603
"East Midlands","All community sentences","Male","2023Q1",3705
"East Midlands","All court orders","Female","2023Q1",952
"East Midlands","All court orders","Male","2023Q1",6240
"East Midlands","All pre- and post-release supervision","Female","2023Q1",443
"East Midlands","All pre- and post-release supervision","Male","2023Q1",7803
"East Midlands","All supervision","Female","2023Q1",1363
"East Midlands","All supervision","Male","2023Q1",13795
"East Midlands","All supervision in the community","Female","2023Q1",1186
"East Midlands","All supervision in the community","Male","2023Q1",9689
"East Midlands","Community order","Female","2023Q1",602
"East Midlands","Community order","Male","2023Q1",3686
"East Midlands","Other sentences","Female","2023Q1",363
"East Midlands","Other sentences","Male","2023Q1",2643
"East Midlands","Post-release supervision","Female","2023Q1",259
"East Midlands","Post-release supervision","Male","2023Q1",3623
"East Midlands","Pre-release supervision","Female","2023Q1",186
"East Midlands","Pre-release supervision","Male","2023Q1",4194
"East Midlands","Supervision Default Order","Female","2023Q1",1
"East Midlands","Supervision Default Order","Male","2023Q1",2
"East Midlands","Suspended sentence order with requirements","Female","2023Q1",363
"East Midlands","Suspended sentence order with requirements","Male","2023Q1",2643
"East Midlands","Youth Rehabilitation Order","Female","2023Q1",2
"East Midlands","Youth Rehabilitation Order","Male","2023Q1",19
"East of England","All community sentences","Female","2023Q1",1102
"East of England","All community sentences","Male","2023Q1",5819
"East of England","All court orders","Female","2023Q1",1665
"East of England","All court orders","Male","2023Q1",10054
"East of England","All pre- and post-release supervision","Female","2023Q1",613
"East of England","All pre- and post-release supervision","Male","2023Q1",11787
"East of England","All supervision","Female","2023Q1",2228
"East of England","All supervision","Male","2023Q1",21404
"East of England","All supervision in the community","Female","2023Q1",1970
"East of England","All supervision in the community","Male","2023Q1",14914
"East of England","Community order","Female","2023Q1",1099
"East of England","Community order","Male","2023Q1",5761
"East of England","Other sentences","Female","2023Q1",588
"East of England","Other sentences","Male","2023Q1",4395
"East of England","Post-release supervision","Female","2023Q1",343
"East of England","Post-release supervision","Male","2023Q1",5157
"East of England","Pre-release supervision","Female","2023Q1",273
"East of England","Pre-release supervision","Male","2023Q1",6665
"East of England","Supervision Default Order","Female","2023Q1",1
"East of England","Supervision Default Order","Male","2023Q1",19
"East of England","Suspended sentence order with requirements","Female","2023Q1",588
"East of England","Suspended sentence order with requirements","Male","2023Q1",4395
"East of England","Youth Rehabilitation Order","Female","2023Q1",2
"East of England","Youth Rehabilitation Order","Male","2023Q1",42
"Greater Manchester","All community sentences","Female","2023Q1",533
"Greater Manchester","All community sentences","Male","2023Q1",3451
"Greater Manchester","All court orders","Female","2023Q1",827
"Greater Manchester","All court orders","Male","2023Q1",5664
"Greater Manchester","All pre- and post-release supervision","Female","2023Q1",361
"Greater Manchester","All pre- and post-release supervision","Male","2023Q1",8339
"Greater Manchester","All pre-Criminal Justice Act 2003 orders","Male","2023Q1",1
"Greater Manchester","All supervision","Female","2023Q1",1169
"Greater Manchester","All supervision","Male","2023Q1",13748
"Greater Manchester","All supervision in the community","Female","2023Q1",1014
"Greater Manchester","All supervision in the community","Male","2023Q1",9028
"Greater Manchester","Community order","Female","2023Q1",532
"Greater Manchester","Community order","Male","2023Q1",3402
"Greater Manchester","Other sentences","Female","2023Q1",303
"Greater Manchester","Other sentences","Male","2023Q1",2334
"Greater Manchester","Post-release supervision","Female","2023Q1",202
"Greater Manchester","Post-release supervision","Male","2023Q1",3516
"Greater Manchester","Pre-release supervision","Female","2023Q1",160
"Greater Manchester","Pre-release supervision","Male","2023Q1",4827
"Greater Manchester","Supervision Default Order","Male","2023Q1",4
"Greater Manchester","Suspended sentence order with requirements","Female","2023Q1",303
"Greater Manchester","Suspended sentence order with requirements","Male","2023Q1",2334
"Greater Manchester","Youth Rehabilitation Order","Female","2023Q1",1
"Greater Manchester","Youth Rehabilitation Order","Male","2023Q1",48
"Kent, Surrey and Sussex","All community sentences","Female","2023Q1",681
"Kent, Surrey and Sussex","All community sentences","Male","2023Q1",3688
"Kent, Surrey and Sussex","All court orders","Female","2023Q1",981
"Kent, Surrey and Sussex","All court orders","Male","2023Q1",6052
"Kent, Surrey and Sussex","All pre- and post-release supervision","Female","2023Q1",380
"Kent, Surrey and Sussex","All pre- and post-release supervision","Male","2023Q1",7200
"Kent, Surrey and Sussex","All supervision","Female","2023Q1",1341
"Kent, Surrey and Sussex","All supervision","Male","2023Q1",13000
"Kent, Surrey and Sussex","All supervision in the community","Female","2023Q1",1196
"Kent, Surrey and Sussex","All supervision in the community","Male","2023Q1",9057
"Kent, Surrey and Sussex","Community order","Female","2023Q1",681
"Kent, Surrey and Sussex","Community order","Male","2023Q1",3664
"Kent, Surrey and Sussex","Deferred sentence","Male","2023Q1",1
"Kent, Surrey and Sussex","Other sentences","Female","2023Q1",318
"Kent, Surrey and Sussex","Other sentences","Male","2023Q1",2513
"Kent, Surrey and Sussex","Post-release supervision","Female","2023Q1",231
"Kent, Surrey and Sussex","Post-release supervision","Male","2023Q1",3156
"Kent, Surrey and Sussex","Pre-release supervision","Female","2023Q1",149
"Kent, Surrey and Sussex","Pre-release supervision","Male","2023Q1",4066
"Kent, Surrey and Sussex","Supervision Default Order","Male","2023Q1",1
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Female","2023Q1",318
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Male","2023Q1",2513
"Kent, Surrey and Sussex","Youth Rehabilitation Order","Male","2023Q1",24
"London","All community sentences","Female","2023Q1",1143
"London","All community sentences","Male","2023Q1",8124
"London","All court orders","Female","2023Q1",1742
"London","All court orders","Male","2023Q1",14185
"London","All pre- and post-release supervision","Female","2023Q1",916
"London","All pre- and post-release supervision","Male","2023Q1",22001
"London","All supervision","Female","2023Q1",2618
"London","All supervision","Male","2023Q1",35612
"London","All supervision in the community","Female","2023Q1",2238
"London","All supervision in the community","Male","2023Q1",23611
"London","Community order","Female","2023Q1",1130
"London","Community order","Male","2023Q1",7971
"London","Deferred sentence","Male","2023Q1",1
"London","Other sentences","Female","2023Q1",623
"London","Other sentences","Male","2023Q1",6345
"London","Post-release supervision","Female","2023Q1",523
"London","Post-release supervision","Male","2023Q1",9809
"London","Pre-release supervision","Female","2023Q1",400
"London","Pre-release supervision","Male","2023Q1",12301
"London","Supervision Default Order","Female","2023Q1",1
"London","Supervision Default Order","Male","2023Q1",5
"London","Suspended sentence order with requirements","Female","2023Q1",623
"London","Suspended sentence order with requirements","Male","2023Q1",6344
"London","Youth Rehabilitation Order","Female","2023Q1",14
"London","Youth Rehabilitation Order","Male","2023Q1",158
"National Security Division","All community sentences","Female","2023Q1",1
"National Security Division","All community sentences","Male","2023Q1",7
"National Security Division","All court orders","Female","2023Q1",1
"National Security Division","All court orders","Male","2023Q1",11
"National Security Division","All pre- and post-release supervision","Female","2023Q1",15
"National Security Division","All pre- and post-release supervision","Male","2023Q1",330
"National Security Division","All supervision","Female","2023Q1",16
"National Security Division","All supervision","Male","2023Q1",340
"National Security Division","All supervision in the community","Female","2023Q1",8
"National Security Division","All supervision in the community","Male","2023Q1",81
"National Security Division","Community order","Female","2023Q1",1
"National Security Division","Community order","Male","2023Q1",6
"National Security Division","Other sentences","Male","2023Q1",4
"National Security Division","Post-release supervision","Female","2023Q1",7
"National Security Division","Post-release supervision","Male","2023Q1",71
"National Security Division","Pre-release supervision","Female","2023Q1",8
"National Security Division","Pre-release supervision","Male","2023Q1",259
