"REGION","ORDER TYPE","SEX","DATE","COUNT"
"East Midlands","All community sentences","Female","2023Q1",192
"East Midlands","All community sentences","Male","2023Q1",955
"East Midlands","All court orders","Female","2023Q1",280
"East Midlands","All court orders","Male","2023Q1",1516
"East Midlands","All court orders and pre-release supervision","Female","2023Q1",365
"East Midlands","All court orders and pre-release supervision","Male","2023Q1",2633
"East Midlands","Committal for breach of post-sentence supervision","Female","2023Q1",4
"East Midlands","Committal for breach of post-sentence supervision","Male","2023Q1",35
"East Midlands","Community order","Female","2023Q1",190
"East Midlands","Community order","Male","2023Q1",951
"East Midlands","Other sentences","Female","2023Q1",88
"East Midlands","Other sentences","Male","2023Q1",561
"East Midlands","Pre-release supervision","Female","2023Q1",85
"East Midlands","Pre-release supervision","Male","2023Q1",1119
"East Midlands","Supervision Default Order","Female","2023Q1",2
"East Midlands","Supervision Default Order","Male","2023Q1",1
"East Midlands","Suspended sentence order with requirements","Female","2023Q1",88
"East Midlands","Suspended sentence order with requirements","Male","2023Q1",561
"East Midlands","Youth Rehabilitation Order","Male","2023Q1",3
"East of England","All community sentences","Female","2023Q1",277
"East of England","All community sentences","Male","2023Q1",1276
"East of England","All court orders","Female","2023Q1",394
"East of England","All court orders","Male","2023Q1",2117
"East of England","All court orders and pre-release supervision","Female","2023Q1",516
"East of England","All court orders and pre-release supervision","Male","2023Q1",3692
"East of England","Committal for breach of post-sentence supervision","Female","2023Q1",11
"East of England","Committal for breach of post-sentence supervision","Male","2023Q1",64
"East of England","Community order","Female","2023Q1",276
"East of England","Community order","Male","2023Q1",1264
"East of England","Other sentences","Female","2023Q1",118
"East of England","Other sentences","Male","2023Q1",841
"East of England","Pre-release supervision","Female","2023Q1",122
"East of England","Pre-release supervision","Male","2023Q1",1577
"East of England","Supervision Default Order","Female","2023Q1",1
"East of England","Supervision Default Order","Male","2023Q1",10
"East of England","Suspended sentence order with requirements","Female","2023Q1",118
"East of England","Suspended sentence order with requirements","Male","2023Q1",841
"East of England","Youth Rehabilitation Order","Male","2023Q1",2
"Greater Manchester","All community sentences","Female","2023Q1",145
"Greater Manchester","All community sentences","Male","2023Q1",763
"Greater Manchester","All court orders","Female","2023Q1",198
"Greater Manchester","All court orders","Male","2023Q1",1227
"Greater Manchester","All court orders and pre-release supervision","Female","2023Q1",257
"Greater Manchester","All court orders and pre-release supervision","Male","2023Q1",2281
"Greater Manchester","Committal for breach of post-sentence supervision","Female","2023Q1",10
"Greater Manchester","Committal for breach of post-sentence supervision","Male","2023Q1",69
"Greater Manchester","Community order","Female","2023Q1",145
"Greater Manchester","Community order","Male","2023Q1",750
"Greater Manchester","Other sentences","Female","2023Q1",53
"Greater Manchester","Other sentences","Male","2023Q1",464
"Greater Manchester","Pre-release supervision","Female","2023Q1",60
"Greater Manchester","Pre-release supervision","Male","2023Q1",1056
"Greater Manchester","Supervision Default Order","Male","2023Q1",4
"Greater Manchester","Suspended sentence order with requirements","Female","2023Q1",53
"Greater Manchester","Suspended sentence order with requirements","Male","2023Q1",464
"Greater Manchester","Youth Rehabilitation Order","Male","2023Q1",9
"Kent, Surrey and Sussex","All community sentences","Female","2023Q1",198
"Kent, Surrey and Sussex","All community sentences","Male","2023Q1",871
"Kent, Surrey and Sussex","All court orders","Female","2023Q1",257
"Kent, Surrey and Sussex","All court orders","Male","2023Q1",1308
"Kent, Surrey and Sussex","All court orders and pre-release supervision","Female","2023Q1",315
"Kent, Surrey and Sussex","All court orders and pre-release supervision","Male","2023Q1",2162
"Kent, Surrey and Sussex","Committal for breach of post-sentence supervision","Female","2023Q1",2
"Kent, Surrey and Sussex","Committal for breach of post-sentence supervision","Male","2023Q1",21
"Kent, Surrey and Sussex","Community order","Female","2023Q1",198
"Kent, Surrey and Sussex","Community order","Male","2023Q1",870
"Kent, Surrey and Sussex","Other sentences","Female","2023Q1",59
"Kent, Surrey and Sussex","Other sentences","Male","2023Q1",437
"Kent, Surrey and Sussex","Pre-release supervision","Female","2023Q1",58
"Kent, Surrey and Sussex","Pre-release supervision","Male","2023Q1",854
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Female","2023Q1",59
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Male","2023Q1",437
"Kent, Surrey and Sussex","Youth Rehabilitation Order","Male","2023Q1",1
"London","All community sentences","Female","2023Q1",272
"London","All community sentences","Male","2023Q1",1637
"London","All court orders","Female","2023Q1",380
"London","All court orders","Male","2023Q1",2800
"London","All court orders and pre-release supervision","Female","2023Q1",504
"London","All court orders and pre-release supervision","Male","2023Q1",4990
"London","Committal for breach of post-sentence supervision","Female","2023Q1",6
"London","Committal for breach of post-sentence supervision","Male","2023Q1",11
"London","Community order","Female","2023Q1",271
"London","Community order","Male","2023Q1",1617
"London","Other sentences","Female","2023Q1",108
"London","Other sentences","Male","2023Q1",1163
"London","Pre-release supervision","Female","2023Q1",124
"London","Pre-release supervision","Male","2023Q1",2192
"London","Supervision Default Order","Male","2023Q1",7
"London","Suspended sentence order with requirements","Female","2023Q1",108
"London","Suspended sentence order with requirements","Male","2023Q1",1163
"London","Youth Rehabilitation Order","Female","2023Q1",1
"London","Youth Rehabilitation Order","Male","2023Q1",13
"National Security Division","All community sentences","Male","2023Q1",1
"National Security Division","All court orders","Male","2023Q1",1
