REGION,ORDER TYPE,REASON,SEX,DATE,COUNT
East Midlands,Community order,Ran their full course,Female,2023Q1,124
East Midlands,Community order,Ran their full course,Male,2023Q1,624
East Midlands,Community order,Terminated early for good progress,Female,2023Q1,7
East Midlands,Community order,Terminated early for good progress,Male,2023Q1,20
East Midlands,Community order,Terminated early for failure to comply with requirements,Female,2023Q1,10
East Midlands,Community order,Terminated early for failure to comply with requirements,Male,2023Q1,97
East Midlands,Community order,Terminated early for conviction of an offence,Female,2023Q1,14
East Midlands,Community order,Terminated early for conviction of an offence,Male,2023Q1,93
East Midlands,Community order,Terminated early for other reasons,Female,2023Q1,8
East Midlands,Community order,Terminated early for other reasons,Male,2023Q1,58
East Midlands,Suspended sentence order,Ran their full course,Female,2023Q1,70
East Midlands,Suspended sentence order,Ran their full course,Male,2023Q1,379
East Midlands,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2023Q1,5
East Midlands,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2023Q1,35
East Midlands,Suspended sentence order,Terminated early for conviction of an offence,Female,2023Q1,11
East Midlands,Suspended sentence order,Terminated early for conviction of an offence,Male,2023Q1,59
East Midlands,Suspended sentence order,Terminated early for other reasons,Female,2023Q1,c
East Midlands,Suspended sentence order,Terminated early for other reasons,Male,2023Q1,3
East of England,Community order,Ran their full course,Female,2023Q1,191
East of England,Community order,Ran their full course,Male,2023Q1,736
East of England,Community order,Terminated early for good progress,Female,2023Q1,20
East of England,Community order,Terminated early for good progress,Male,2023Q1,212
East of England,Community order,Terminated early for failure to comply with requirements,Female,2023Q1,18
East of England,Community order,Terminated early for failure to comply with requirements,Male,2023Q1,108
East of England,Community order,Terminated early for conviction of an offence,Female,2023Q1,23
East of England,Community order,Terminated early for conviction of an offence,Male,2023Q1,144
East of England,Community order,Terminated early for other reasons,Female,2023Q1,13
East of England,Community order,Terminated early for other reasons,Male,2023Q1,48
East of England,Suspended sentence order,Ran their full course,Female,2023Q1,77
East of England,Suspended sentence order,Ran their full course,Male,2023Q1,544
East of England,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2023Q1,8
East of England,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2023Q1,46
East of England,Suspended sentence order,Terminated early for conviction of an offence,Female,2023Q1,6
East of England,Suspended sentence order,Terminated early for conviction of an offence,Male,2023Q1,81
East of England,Suspended sentence order,Terminated early for other reasons,Female,2023Q1,c
East of England,Suspended sentence order,Terminated early for other reasons,Male,2023Q1,11
Greater Manchester,Community order,Ran their full course,Female,2023Q1,109
Greater Manchester,Community order,Ran their full course,Male,2023Q1,540
Greater Manchester,Community order,Terminated early for good progress,Female,2023Q1,c
Greater Manchester,Community order,Terminated early for good progress,Male,2023Q1,4
Greater Manchester,Community order,Terminated early for failure to comply with requirements,Female,2023Q1,10
Greater Manchester,Community order,Terminated early for failure to comply with requirements,Male,2023Q1,76
Greater Manchester,Community order,Terminated early for conviction of an offence,Female,2023Q1,6
Greater Manchester,Community order,Terminated early for conviction of an offence,Male,2023Q1,100
Greater Manchester,Community order,Terminated early for other reasons,Female,2023Q1,6
Greater Manchester,Community order,Terminated early for other reasons,Male,2023Q1,19
Greater Manchester,Suspended sentence order,Ran their full course,Female,2023Q1,47
Greater Manchester,Suspended sentence order,Ran their full course,Male,2023Q1,337
Greater Manchester,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2023Q1,c
Greater Manchester,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2023Q1,57
Greater Manchester,Suspended sentence order,Terminated early for conviction of an offence,Female,2023Q1,6
Greater Manchester,Suspended sentence order,Terminated early for conviction of an offence,Male,2023Q1,60
Greater Manchester,Suspended sentence order,Terminated early for other reasons,Male,2023Q1,3
"Kent, Surrey and Sussex",Community order,Ran their full course,Female,2023Q1,135
"Kent, Surrey and Sussex",Community order,Ran their full course,Male,2023Q1,516
"Kent, Surrey and Sussex",Community order,Terminated early for good progress,Female,2023Q1,9
"Kent, Surrey and Sussex",Community order,Terminated early for good progress,Male,2023Q1,80
"Kent, Surrey and Sussex",Community order,Terminated early for failure to comply with requirements,Female,2023Q1,11
"Kent, Surrey and Sussex",Community order,Terminated early for failure to comply with requirements,Male,2023Q1,48
"Kent, Surrey and Sussex",Community order,Terminated early for conviction of an offence,Female,2023Q1,19
